Ref,Val,Package,PosX,PosY,Rot,Side
"C8","100n","C_0805_2012Metric",209.450000,-98.240000,-90.000000,bottom
"C9","100n","C_0805_2012Metric",212.820000,-120.760000,90.000000,bottom
"C11","100n","C_0805_2012Metric",195.170000,-111.007500,90.000000,bottom
"C13","100n","C_0805_2012Metric",221.390000,-109.770000,90.000000,bottom
"C15","100n","C_0805_2012Metric",193.180000,-97.930000,0.000000,bottom
"C16","100n","C_0805_2012Metric",205.420000,-98.200000,90.000000,bottom
"R1","0","R_0805_2012Metric",174.700000,-86.790000,0.000000,bottom
"R23","200k","R_0805_2012Metric",222.280000,-91.180000,0.000000,bottom
"R24","200k","R_0805_2012Metric",222.310000,-88.630000,0.000000,bottom
